Learning Rate	Train Loss	Test Loss	
0.00100000	0.01192178	0.01215208	
0.00100000	0.00823994	0.00778658	
0.00100000	0.00661433	0.00388585	
0.00100000	0.00280482	0.00253847	
0.00100000	0.00203973	0.00216496	
0.00100000	0.00169962	0.00171134	
0.00100000	0.00157390	0.00160956	
0.00100000	0.00149694	0.00150941	
0.00100000	0.00137155	0.00131024	
0.00100000	0.00125566	0.00121829	
0.00100000	0.00117072	0.00115489	
0.00100000	0.00113967	0.00113730	
0.00100000	0.00113261	0.00115859	
0.00100000	0.00114563	0.00110768	
0.00100000	0.00108290	0.00105873	
0.00100000	0.00107827	0.00109779	
0.00100000	0.00107359	0.00103759	
0.00100000	0.00105239	0.00104785	
0.00100000	0.00107241	0.00108121	
0.00100000	0.00104363	0.00103584	
0.00100000	0.00104228	0.00101629	
0.00100000	0.00103112	0.00103314	
0.00100000	0.00102016	0.00099999	
0.00100000	0.00101403	0.00103681	
0.00100000	0.00092168	0.00089826	
0.00100000	0.00084463	0.00082005	
0.00100000	0.00082744	0.00081970	
0.00100000	0.00081394	0.00079353	
0.00100000	0.00079992	0.00078710	
0.00100000	0.00079462	0.00078568	
0.00100000	0.00079517	0.00078228	
0.00100000	0.00078560	0.00077440	
0.00100000	0.00077900	0.00077237	
0.00100000	0.00078175	0.00079029	
0.00100000	0.00079468	0.00077561	
0.00100000	0.00078057	0.00075052	
0.00100000	0.00076804	0.00076393	
0.00100000	0.00072966	0.00068534	
0.00100000	0.00060680	0.00059371	
0.00100000	0.00057428	0.00058778	
0.00100000	0.00057111	0.00055150	
0.00100000	0.00055324	0.00055722	
0.00100000	0.00056044	0.00054699	
0.00100000	0.00056875	0.00059173	
0.00100000	0.00055297	0.00052908	
0.00100000	0.00054929	0.00055490	
0.00100000	0.00053376	0.00052552	
0.00100000	0.00053536	0.00052784	
0.00100000	0.00053816	0.00054707	
0.00100000	0.00054081	0.00053560	
0.00100000	0.00053085	0.00051354	
0.00100000	0.00053102	0.00052407	
0.00100000	0.00053864	0.00050759	
0.00100000	0.00052165	0.00050130	
0.00100000	0.00052975	0.00053157	
0.00100000	0.00053342	0.00053706	
0.00100000	0.00052122	0.00050434	
0.00100000	0.00051948	0.00050839	
0.00100000	0.00052437	0.00052799	
0.00100000	0.00051835	0.00051401	
0.00100000	0.00051499	0.00049861	
0.00100000	0.00051249	0.00050001	
0.00100000	0.00051574	0.00049861	
0.00100000	0.00051346	0.00050834	
0.00100000	0.00050820	0.00050936	
0.00100000	0.00050338	0.00049147	
0.00100000	0.00050102	0.00048580	
0.00100000	0.00048698	0.00046793	
0.00100000	0.00036333	0.00033382	
0.00100000	0.00029333	0.00027986	
0.00100000	0.00027519	0.00025668	
0.00100000	0.00012361	0.00008341	
0.00100000	0.00008868	0.00009179	
0.00100000	0.00008200	0.00006709	
0.00100000	0.00006463	0.00006036	
0.00100000	0.00005572	0.00006430	
0.00100000	0.00004794	0.00003662	
0.00100000	0.00005188	0.00004357	
0.00100000	0.00005293	0.00004197	
0.00100000	0.00004534	0.00003074	
0.00100000	0.00004095	0.00003114	
0.00100000	0.00004887	0.00003682	
0.00100000	0.00004765	0.00004204	
0.00100000	0.00004661	0.00003637	
0.00100000	0.00003772	0.00002760	
0.00100000	0.00004752	0.00003364	
0.00100000	0.00003619	0.00002193	
0.00100000	0.00005248	0.00002654	
0.00100000	0.00004162	0.00003862	
0.00100000	0.00004453	0.00003756	
0.00100000	0.00004986	0.00003236	
0.00100000	0.00004551	0.00002474	
0.00100000	0.00003795	0.00004293	
0.00100000	0.00003982	0.00002807	
0.00100000	0.00004390	0.00002762	
0.00100000	0.00003554	0.00002388	
0.00100000	0.00003879	0.00003534	
0.00100000	0.00003961	0.00002511	
0.00100000	0.00004950	0.00002920	
0.00100000	0.00003645	0.00002989	
0.00100000	0.00003914	0.00002613	
0.00100000	0.00003801	0.00002578	
0.00100000	0.00005045	0.00004869	
0.00100000	0.00003688	0.00002973	
0.00100000	0.00003600	0.00002567	
0.00100000	0.00003872	0.00003874	
0.00100000	0.00003899	0.00002210	
0.00100000	0.00003660	0.00002858	
0.00100000	0.00003530	0.00002249	
0.00100000	0.00004822	0.00002878	
0.00100000	0.00003611	0.00004880	
0.00100000	0.00004008	0.00002672	
0.00100000	0.00003732	0.00003013	
0.00100000	0.00003633	0.00001919	
0.00100000	0.00003315	0.00002348	
0.00100000	0.00003284	0.00003803	
0.00100000	0.00003933	0.00002515	
0.00100000	0.00003856	0.00002441	
0.00100000	0.00003566	0.00002199	
0.00100000	0.00003484	0.00002632	
0.00010000	0.00002633	0.00001285	
0.00010000	0.00002702	0.00001249	
0.00010000	0.00002362	0.00001313	
0.00010000	0.00002540	0.00001241	
0.00010000	0.00002274	0.00001288	
0.00010000	0.00002947	0.00001315	
